Country,Languages,Regionals
Italy,Italian,"['Aosta Valley', 'South Tyrol', 'Ladin language', 'Province of Trieste', 'Province of Gorizia', 'Sicily', 'Calabria', 'Sardinian language', 'Sardinia', 'Corsican language', 'Sardinia', 'Griko dialect', 'Grecìa Salentina', 'Calabrian Greek', 'Calabria']"
Ivory Coast,French,[]
Jamaica,English,[]
Japan,Japanese,[]
Jordan,Arabic,[]
Kazakhstan,Kazakh,[]
Kazakhstan,Russian,[]
Kenya,English,[]
Kiribati,English,[]
North Korea,Korean,[]
South Korea,Korean,[]
South Korea,Korean Sign Language,[]
Kosovo,Albanian,[]
Kosovo,Serbian,[]
Kuwait,Standard Arabic,[]
Kyrgyzstan,Kyrgyz,[]
Kyrgyzstan,Russian,[]
Laos,Lao,[]
Latvia,Latvian,[]
Lebanon,Arabic,[]
Lesotho,Sotho,[]
Lesotho,English,[]
Liberia,English,[]
Libya,Arabic,[]
Liechtenstein,German,[]
Lithuania,Lithuanian,[]
Luxembourg,French,[]
Luxembourg,German,[]
Luxembourg,Luxembourgish,[]
Madagascar,French,[]
Madagascar,Malagasy,[]
Malawi,English,[]
Malawi,Chichewa,[]
Malaysia,Malay,[]
Malaysia,English,[]
Maldives,Dhivehi,[]
Mali,French,[]
Malta,Maltese,[]
Malta,English,[]
Sovereign Military Order of Malta,Italian,[]
Marshall Islands,English,[]
Mauritania,Arabic,[]
Mauritius,English,[]
Mexico,Spanish,[]
Federated States of Micronesia,Woleaian,"['Kosrae', 'Chuukese language', 'Chuukic languages', 'Kosraean language']"
Moldova,Romanian,['Gagauz language']
Monaco,French,[]
Mongolia,Mongolian,[]
Montenegro,Albanian,['Bosnian language']
Montenegro,Croatian,['Bosnian language']
Montenegro,Serbian,['Bosnian language']
Morocco,Arabic,[]
Morocco,Tamazight,[]
Mozambique,Portuguese,[]
Myanmar,Burmese,"['Chin language', 'Kachin language', ""S'gaw Karen language"", 'Karenni language', 'Mon language', 'Rakhine language', 'Shan language']"
Namibia,English,['Ovambo language']
Nauru,English,[]
Nauru,Nauruan,[]
Nepal,Nepali,[]
Netherlands,Dutch,"['West Frisian language', 'Friesland', 'Papiamento', 'Aruba', 'Curaçao', 'Bonaire', 'Sint Maarten', 'Sint Eustatius', 'Saba', 'Limburgish language', 'Low Saxon language', 'Dutch Sign Language']"
New Zealand,English,[]
New Zealand,Maori,[]
New Zealand,New Zealand Sign Language,[]
Nicaragua,Spanish,[]
Niger,French,[]
Nigeria,English,[]
North Macedonia,Macedonian,[]
North Macedonia,Albanian,[]
Northern Cyprus,Turkish,[]
Norway,Norwegian,"['Northern Sami language', 'Kautokeino', 'Karasjok', 'Gáivuotna–Kåfjord', 'Gáivuotna–Kåfjord', 'Nesseby', 'Porsanger', 'Tana, Norway', 'Tysfjord']"
Norway,Sami,"['Northern Sami language', 'Kautokeino', 'Karasjok', 'Gáivuotna–Kåfjord', 'Gáivuotna–Kåfjord', 'Nesseby', 'Porsanger', 'Tana, Norway', 'Tysfjord']"
Oman,Arabic,[]
Pakistan,English,[]
Pakistan,Urdu,[]
Palau,English,"['Sonsorolese language', 'Sonsorol', 'Tobian language', 'Hatohobei', 'Angaur']"
Palau,Palauan,"['Sonsorolese language', 'Sonsorol', 'Tobian language', 'Hatohobei', 'Angaur']"
Palestine,Arabic,[]
Panama,Spanish,[]
Papua New Guinea,English,[]
Papua New Guinea,Hiri Motu,[]
Papua New Guinea,PNG Sign Language,[]
Papua New Guinea,Tok Pisin,[]
Paraguay,Spanish,[]
Paraguay,Guaraní,[]
Peru,Spanish,[]
Peru,Aymara,[]
Peru,Quechua,[]
Philippines,English,"['Aklanon language', 'Visayas', 'Bikol languages', 'Luzon', 'Cebuano language', 'Mindanao', 'Chavacano', 'Ibanag language', 'Ilocano language', 'La Union', None, 'Ivatan language', 'Kapampangan language', 'Kinaray-a', 'Maranao language', 'Maguindanao language', 'Pangasinan language', 'Sambal language', 'Tagalog language', 'Tausug language', 'Waray language', 'Yakan language']"
Philippines,Filipino,"['Aklanon language', 'Visayas', 'Bikol languages', 'Luzon', 'Cebuano language', 'Mindanao', 'Chavacano', 'Ibanag language', 'Ilocano language', 'La Union', None, 'Ivatan language', 'Kapampangan language', 'Kinaray-a', 'Maranao language', 'Maguindanao language', 'Pangasinan language', 'Sambal language', 'Tagalog language', 'Tausug language', 'Waray language', 'Yakan language']"
Philippines,Filipino Sign Language,"['Aklanon language', 'Visayas', 'Bikol languages', 'Luzon', 'Cebuano language', 'Mindanao', 'Chavacano', 'Ibanag language', 'Ilocano language', 'La Union', None, 'Ivatan language', 'Kapampangan language', 'Kinaray-a', 'Maranao language', 'Maguindanao language', 'Pangasinan language', 'Sambal language', 'Tagalog language', 'Tausug language', 'Waray language', 'Yakan language']"
Poland,Polish,"['Kashubian language', 'Pomeranian Voivodeship']"
Portugal,Portuguese,"['Mirandese language', 'Miranda do Douro']"
Qatar,Arabic,[]
Romania,Romanian,[]
Russia,Russian,['Languages of Russia']
Rwanda,English,[]
Rwanda,French,[]
Rwanda,Kinyarwanda,[]
Rwanda,Swahili,[]
Sahrawi Arab Democratic Republic,Tamazight,[]
Sahrawi Arab Democratic Republic,Arabic,[]
Sahrawi Arab Democratic Republic,Spanish,[]
Saint Kitts and Nevis,English,[]
Saint Lucia,English,[]
Saint Vincent and the Grenadines,English,[]
Samoa,English,[]
San Marino,Italian,[]
São Tomé and Príncipe,Portuguese,[]
Saudi Arabia,Arabic,[]
Senegal,French,[]
Serbia,Serbian,[]
Seychelles,English,[]
Seychelles,French,[]
Seychelles,Seychellois Creole,[]
Sierra Leone,English,[]
Singapore,English,[]
Singapore,Malay,[]
Singapore,Mandarin,[]
Singapore,Tamil,[]
Slovakia,Slovak,[]
Slovenia,Slovene,[]
Solomon Islands,English,[]
Somalia,Arabic,[]
Somaliland,Arabic,[]
Somaliland,English,[]
Somaliland,Somali,[]
South Africa,Afrikaans,[]
South Africa,English,[]
South Africa,Southern Ndebele,[]
South Africa,Sotho,[]
South Africa,Northern Sotho,[]
South Africa,Swazi,[]
South Africa,Tsonga,[]
South Africa,Tswana,[]
South Africa,Venda,[]
South Africa,Xhosa,[]
South Africa,Zulu,[]
South Ossetia,Ossetian,[]
South Ossetia,Russian,[]
South Sudan,English,[]
Spain,Spanish,"['Catalan language', 'Balearic Islands', 'Catalonia', 'Valencia', 'Galician language', 'Galicia (Spain)', 'Occitan language', 'Basque language', 'Basque Country (autonomous community)', 'Navarra']"
Sri Lanka,Sinhala,[]
Sri Lanka,Tamil,[]
Sudan,Arabic,[]
Sudan,English,[]
Suriname,Dutch,[]
Sweden,Swedish,[]
Switzerland,French,[]
Switzerland,German,[]
Switzerland,Italian,[]
Switzerland,Romansh,[]
Syria,Arabic,[]
Taiwan,Mandarin,[]
Tajikistan,Persian,[]
Tanzania,English,[]
Thailand,Thai,[]
Togo,French,[]
Tonga,English,[]
Transnistria,Moldovan,[]
Transnistria,Russian,[]
Transnistria,Ukrainian,[]
Trinidad and Tobago,English,[]
Tunisia,Arabic,[]
Turkey,Turkish,[]
Turkmenistan,Turkmen,[]
Tuvalu,English,[]
Uganda,English,[]
Uganda,Swahili,[]
Ukraine,Ukrainian,[]
United Arab Emirates,Arabic,[]
United Kingdom,English,"['Cornish language', 'Cornwall', None, 'Irish language', 'Ulster Scots dialects', 'Northern Ireland', 'Scots language', 'Scottish Gaelic', 'Scotland', 'Welsh language', 'Wales', 'Pitkern language', 'Pitcairn Islands', 'Guernésiais', 'French language', 'Guernsey', 'Jèrriais', 'Jersey', 'Manx language', 'Isle of Man']"
United States,English,['Languages of the United States']
Uruguay,Spanish,[]
Uzbekistan,Uzbek,[]
Vanuatu,English,[]
Vanuatu,French,[]
Vatican City,Italian,[]
Venezuela,Spanish,[]
Venezuela,Venezuelan Sign Language,[]
Vietnam,Vietnamese,[]
Yemen,Arabic,[]
Zambia,English,[]
Zimbabwe,Chewa,[]
Zimbabwe,Chibarwe,[]
Zimbabwe,English,[]
Zimbabwe,Kalanga,[]
Zimbabwe,Khoisan,[]
Zimbabwe,Nambya,[]
Zimbabwe,Ndau,[]
Zimbabwe,Ndebele,[]
Zimbabwe,Shangani,[]
Zimbabwe,Shona,[]
Zimbabwe,Sign,[]
Zimbabwe,Sotho,[]
Zimbabwe,Tonga,[]
Zimbabwe,Tswana,[]
Zimbabwe,Venda,[]
Zimbabwe,Xhosa,[]
Hong Kong,Cantonese,
Macau,Cantonese,
India,Hindi,
